,productID,reviewerID,vote,rating,date,helpfulness_votes,total_votes,helpfulness_rating,category,brand,title,year,month,month year
662,B00000DMB3,A2NH6XSE79X3VY,"[1, 3]",5,2007-01-12,1,3,33.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2007,1,2007-01
666,B00000DMB3,AD7IBJCYSJ9EE,"[5, 5]",5,2004-10-07,5,5,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,10,2004-10
668,B00000DMB3,AS09CJ2GLNXNV,"[2, 2]",5,2002-09-17,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,9,2002-09
669,B00000DMB3,A9L4AQU51UF2D,"[0, 0]",5,2005-12-06,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2005,12,2005-12
670,B00000DMB3,AQI3I9OLDNMQP,"[2, 2]",5,2005-05-04,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2005,5,2005-05
675,B00000DMB3,A1UB81CPBWN5IC,"[0, 0]",5,2004-05-30,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,5,2004-05
676,B00000DMB3,A1NJ3SRMUS03PI,"[0, 1]",4,2003-04-11,0,1,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,4,2003-04
678,B00000DMB3,A1SQ1TG01XO48F,"[0, 0]",5,2002-02-17,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,2,2002-02
679,B00000DMB3,A8ZTL1LDCI30X,"[0, 0]",5,2001-06-20,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2001,6,2001-06
683,B00000DMB3,A37T0C2H6PB2K4,"[0, 0]",5,2004-03-22,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,3,2004-03
687,B00000DMB3,A10XUQ4D8N0DOM,"[0, 0]",5,2001-09-01,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2001,9,2001-09
689,B00000DMB3,A3BC8YL69NOCUP,"[0, 0]",5,2003-06-19,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,6,2003-06
690,B00000DMB3,A8N0WM620H8RP,"[0, 1]",5,2001-12-03,0,1,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2001,12,2001-12
691,B00000DMB3,A1J1B8IHW9W848,"[0, 0]",5,2000-12-11,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2000,12,2000-12
695,B00000DMB3,AVE2J7PNE0L9C,"[2, 4]",5,2004-02-12,2,4,50.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,2,2004-02
696,B00000DMB3,A1L0OE5XWUGKTJ,"[0, 1]",5,2007-12-25,0,1,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2007,12,2007-12
697,B00000DMB3,A2R4HK5ZJKL0UH,"[5, 6]",5,2002-04-27,5,6,83.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,4,2002-04
699,B00000DMB3,A2LA30ZI2W6329,"[1, 1]",5,2014-04-15,1,1,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2014,4,2014-04
701,B00000DMB3,A2WA8R7ZNUHZMA,"[0, 0]",5,2004-07-12,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,7,2004-07
703,B00000DMB3,A3JX74J0LE924A,"[0, 0]",5,2002-07-19,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,7,2002-07
705,B00000DMB3,A1XUKDQJYFFJZV,"[0, 3]",3,2014-01-08,0,3,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2014,1,2014-01
710,B00000DMB3,A290YFTTNMJNWY,"[0, 0]",5,2009-07-03,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2009,7,2009-07
711,B00000DMB3,A2UOHFR8DBQGGE,"[1, 65]",1,2012-04-10,1,65,2.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2012,4,2012-04
713,B00000DMB3,A13TO1ZFAH9SVN,"[0, 0]",5,2003-10-15,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,10,2003-10
714,B00000DMB3,A2UUSINAX6T51T,"[1, 2]",5,2007-12-08,1,2,50.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2007,12,2007-12
715,B00000DMB3,A2SKKW2P0JGOC5,"[0, 0]",5,2012-12-21,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2012,12,2012-12
718,B00000DMB3,A1X4JO8EJ1U5BR,"[1, 2]",5,2007-11-02,1,2,50.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2007,11,2007-11
719,B00000DMB3,A1OZ5AQ5A0N9YO,"[0, 0]",5,2003-08-07,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,8,2003-08
722,B00000DMB3,A37166GI3OOCZO,"[4, 4]",5,2002-07-04,4,4,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,7,2002-07
724,B00000DMB3,A2QH5NMHW1KTJ1,"[0, 1]",5,2004-02-23,0,1,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,2,2004-02
725,B00000DMB3,AWKOR3ATZMAPI,"[1, 1]",5,2011-08-05,1,1,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2011,8,2011-08
728,B00000DMB3,A14IKQ8B5ABRYQ,"[5, 32]",2,2000-10-27,5,32,16.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2000,10,2000-10
729,B00000DMB3,A3713PP4MADKED,"[0, 0]",5,2002-11-10,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,11,2002-11
732,B00000DMB3,A1T98DASHM6RVZ,"[2, 2]",5,2003-04-26,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,4,2003-04
734,B00000DMB3,A2OR09N5HH20PY,"[1, 1]",5,2009-11-04,1,1,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2009,11,2009-11
735,B00000DMB3,A1YYN07O1K8Q9W,"[6, 7]",5,2004-10-11,6,7,86.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,10,2004-10
736,B00000DMB3,A3IBXED14SKZ8Y,"[2, 2]",5,2004-12-01,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,12,2004-12
738,B00000DMB3,A3GRU9732S4V1U,"[3, 4]",5,2002-02-11,3,4,75.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,2,2002-02
739,B00000DMB3,A12IDQSS4OW33B,"[0, 0]",5,2004-08-06,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,8,2004-08
741,B00000DMB3,A13YGCPILYDPO0,"[2, 2]",5,2005-10-04,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2005,10,2005-10
743,B00000DMB3,A3J6BRU9PYOXVS,"[0, 0]",5,2003-01-17,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,1,2003-01
744,B00000DMB3,A2QDJZFRNSJNE3,"[0, 0]",5,2002-06-14,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,6,2002-06
748,B00000DMB3,A3PASG15BRR40D,"[1, 2]",4,2003-03-24,1,2,50.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,3,2003-03
752,B00000DMB3,ADB8XCKNSDY5Z,"[2, 3]",5,2005-07-08,2,3,67.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2005,7,2005-07
754,B00000DMB3,A3PRDWD3JMF485,"[0, 0]",5,2011-11-03,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2011,11,2011-11
756,B00000DMB3,A3PYSV48S6GFFE,"[2, 2]",5,2010-04-26,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2010,4,2010-04
759,B00000DMB3,A3LOOGDJ7S01LA,"[0, 0]",5,2003-02-25,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,2,2003-02
762,B00000DMB3,A24U1EL8CS6APC,"[0, 0]",5,2005-01-03,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2005,1,2005-01
763,B00000DMB3,A1SX8V30IP3NFP,"[0, 0]",5,2003-10-12,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2003,10,2003-10
764,B00000DMB3,AP3B615GM191G,"[1, 1]",5,2009-06-24,1,1,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2009,6,2009-06
832,B00000F1GM,A1HOVGEE981HS0,"[2, 2]",5,2001-03-03,2,2,100.0,Nintendo 64 Games,,Super Mario 64,2001,3,2001-03
833,B00000F1GM,A2AV2TR28DGSGC,"[7, 9]",5,2002-01-30,7,9,78.0,Nintendo 64 Games,,Super Mario 64,2002,1,2002-01
836,B00000F1GM,AUX16WTCIHM1D,"[3, 21]",2,2007-06-27,3,21,14.0,Nintendo 64 Games,,Super Mario 64,2007,6,2007-06
837,B00000F1GM,A2N1C9JKI2C5XD,"[1, 9]",3,2002-07-09,1,9,11.0,Nintendo 64 Games,,Super Mario 64,2002,7,2002-07
838,B00000F1GM,A3VU8VZ0JVHOOC,"[1, 1]",5,2001-11-18,1,1,100.0,Nintendo 64 Games,,Super Mario 64,2001,11,2001-11
840,B00000F1GM,A1R602SXNGOMJ4,"[0, 0]",4,2002-11-28,0,0,,Nintendo 64 Games,,Super Mario 64,2002,11,2002-11
841,B00000F1GM,A2I9FGQXFX4OVW,"[0, 1]",5,2011-09-22,0,1,,Nintendo 64 Games,,Super Mario 64,2011,9,2011-09
842,B00000F1GM,A2582KMXLK2P06,"[6, 14]",2,2006-06-26,6,14,43.0,Nintendo 64 Games,,Super Mario 64,2006,6,2006-06
843,B00000F1GM,A2HPUBAJYTJKLP,"[0, 0]",5,2001-04-25,0,0,,Nintendo 64 Games,,Super Mario 64,2001,4,2001-04
847,B00000F1GM,A2II09GQGWOMTQ,"[1, 1]",5,2011-01-21,1,1,100.0,Nintendo 64 Games,,Super Mario 64,2011,1,2011-01
849,B00000F1GM,A36UKFV79879MD,"[1, 1]",4,2011-08-04,1,1,100.0,Nintendo 64 Games,,Super Mario 64,2011,8,2011-08
852,B00000F1GM,A37HCSGGRH8UO6,"[6, 8]",5,2003-03-22,6,8,75.0,Nintendo 64 Games,,Super Mario 64,2003,3,2003-03
856,B00000F1GM,A1Z1DI1O6FWC57,"[0, 0]",5,2014-07-01,0,0,,Nintendo 64 Games,,Super Mario 64,2014,7,2014-07
862,B00000F1GM,A20DZX38KRBIT8,"[1, 62]",1,2009-12-07,1,62,2.0,Nintendo 64 Games,,Super Mario 64,2009,12,2009-12
863,B00000F1GM,A11LS12ZU93SV6,"[0, 0]",4,2002-05-18,0,0,,Nintendo 64 Games,,Super Mario 64,2002,5,2002-05
864,B00000F1GM,AD7IBJCYSJ9EE,"[1, 1]",5,2004-10-07,1,1,100.0,Nintendo 64 Games,,Super Mario 64,2004,10,2004-10
865,B00000F1GM,AS09CJ2GLNXNV,"[0, 0]",5,2002-09-17,0,0,,Nintendo 64 Games,,Super Mario 64,2002,9,2002-09
866,B00000F1GM,A1GCIOKPZKFGWN,"[2, 3]",5,2006-04-08,2,3,67.0,Nintendo 64 Games,,Super Mario 64,2006,4,2006-04
867,B00000F1GM,A1U4TQ0MPFWHPX,"[1, 2]",4,2012-09-09,1,2,50.0,Nintendo 64 Games,,Super Mario 64,2012,9,2012-09
870,B00000F1GM,A1SYYW5IKU0MLU,"[1, 2]",5,2013-08-02,1,2,50.0,Nintendo 64 Games,,Super Mario 64,2013,8,2013-08
872,B00000F1GM,A3QHPFEWADUULZ,"[0, 0]",4,2003-05-20,0,0,,Nintendo 64 Games,,Super Mario 64,2003,5,2003-05
873,B00000F1GM,A308XYC471BOAJ,"[0, 0]",5,2013-11-26,0,0,,Nintendo 64 Games,,Super Mario 64,2013,11,2013-11
874,B00000F1GM,A2GBBDNZLYC4A9,"[6, 7]",5,2002-03-13,6,7,86.0,Nintendo 64 Games,,Super Mario 64,2002,3,2002-03
876,B00000F1GM,A2XSMU2ZM37HZD,"[2, 2]",5,2011-03-11,2,2,100.0,Nintendo 64 Games,,Super Mario 64,2011,3,2011-03
878,B00000F1GM,A3KXQ4MDN5Z5FZ,"[0, 0]",4,2014-06-24,0,0,,Nintendo 64 Games,,Super Mario 64,2014,6,2014-06
